,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,968457340.0,1053378.1,1400173.0,2821982.2,22511,28301,13425,5.0708835e-13,1.3126168e-14,9.2334985e-15,2.405864e-10,4.9930237e-11,7.6355276e-11,2.1065413e-08,2.2463984e-09,2.1525857e-10,1.4808346e-09,4.0850415e-10,1.2590544e-09
1,5289288700.0,1002026300.0,508258560.0,603404000.0,22511,18510,13425,5.0708835e-13,9.47251e-15,1.9206677e-14,1.3049028e-12,1.4455623e-11,2.0987593e-12,2.1065413e-08,7.541249e-09,2.4454747e-09,1.6424005e-09,9.228759e-09,1.5907159e-09
2,10715662000.0,58782720000.0,11262250000.0,49231192000.0,22511,28552,13425,5.0708835e-13,4.800947e-15,5.181259e-16,4.2676105e-14,2.8071665e-14,9.12394e-14,2.1065413e-08,1.955282e-09,1.336497e-10,6.159593e-09,7.7626655e-10,1.10291065e-08
3,3925877800.0,18700239000.0,7221379000.0,25292788000.0,22511,18918,13425,5.0708835e-13,3.3825691e-15,4.056748e-15,3.5054564e-14,5.6386865e-14,3.622524e-14,2.1065413e-08,5.010359e-09,3.833791e-10,4.425574e-10,2.7490077e-10,6.185657e-10
4,1595392.1,1206.4807,4825.707,11358.795,13425,28301,5676,5.38167e-12,3.5598186e-14,1.4594648e-12,1.8570207e-08,1.2212523e-09,4.3079582e-10,3.0037715e-08,3.8035194e-10,4.1716824e-10,2.0969078e-09,5.5158006e-10,4.5797943e-10
5,3021592.8,94548450.0,1143323500.0,460332200.0,13425,18510,5676,5.38167e-12,1.3037679e-13,4.9511398e-12,3.1992117e-13,1.4712773e-13,1.0053081e-14,3.0037715e-08,1.8932944e-09,2.6803486e-09,2.0829531e-09,1.1583659e-08,3.1867842e-10
6,5322230.0,3060960500.0,1201511700.0,301404960.0,13425,28552,5676,5.38167e-12,2.4549834e-14,7.067142e-13,8.042443e-14,9.358906e-15,1.5899559e-13,3.0037715e-08,4.0177078e-10,6.738879e-10,1.5042358e-08,6.871053e-10,2.9282334e-09
7,2988726.2,320807.53,128530.29,1214621.6,13425,18918,5676,5.38167e-12,1.4678708e-14,1.3922832e-12,1.9489818e-10,2.5066557e-10,1.35925915e-11,3.0037715e-08,8.539592e-10,7.4552786e-10,1.0747391e-09,5.5379734e-10,2.8378797e-10
8,5799817700.0,5769570300000.0,44698680000000.0,285344740000000.0,5676,28301,20891,4.6703093e-13,4.979824e-16,1.8068214e-15,2.6530419e-14,2.7376052e-16,7.1745874e-18,8.769367e-08,3.4749237e-09,5.5809354e-11,2.1935945e-08,1.753615e-09,2.9338343e-10
9,1748146300.0,1202310500.0,2685339400.0,7033150500.0,5676,18510,20891,4.6703093e-13,1.0178921e-14,1.6003866e-14,1.1513028e-11,1.68579e-11,3.3232155e-13,8.769367e-08,1.0893475e-08,1.4899788e-10,1.2934258e-08,4.229977e-08,2.1839552e-09
