,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,646.85455,27030.639,54365.773,,10814,11022,,3.4647485e-08,9.664883e-09,6.890202e-10,5.31679e-12,1.4580047e-06,,1.6036748e-07,2.198325e-05,9.629284e-08,6.31845e-11,3.4848912e-05,
1,28.467075,1.8930027,2.5562532,,1028,1026,,6.4017746e-05,1.4812581e-05,0.027447594,0.0012641636,3.8715445e-08,,0.00022168012,3.9065257e-05,0.22564243,0.0009073913,3.752565e-08,
2,34.136932,9648480.0,2581.522,,14426,4075,,1.6491522e-07,1.1212971e-12,7.625251e-11,9.6214886e-14,3.9837545e-08,,1.02798585e-05,8.3247453e-10,4.175921e-11,1.2504056e-09,1.385218e-07,
3,1303610.0,0.11173704,2.2599363,,19447,12872,,1.0123152e-07,1.3371039e-10,6.192492e-11,5.7484143e-12,4.3476895e-08,,1.0665793e-05,1.44307205e-11,7.661887e-07,5.9514446e-12,9.1039914e-07,
4,176.96266,163.62506,6145.657,,15353,9610,,3.4647485e-08,4.886621e-13,1.7442113e-09,1.7630873e-05,3.078494e-07,,1.6036748e-07,6.8915945e-10,6.668623e-08,2.0455618e-06,1.3415154e-06,
5,2344.9807,2.6611793,9496.49,,25062,8038,,8.425526e-09,3.306578e-10,2.9388178e-07,3.458131e-08,1.5224323e-10,,6.862634e-06,2.0886304e-09,8.4609303e-07,1.4569101e-08,2.2888551e-07,
6,27821.105,0.730215,16964.676,,1026,1028,,2.3189175e-09,0.002740995,2.157763e-12,2.394447e-05,4.162396e-11,,1.009142e-07,0.025689583,1.3794665e-09,1.8655513e-06,7.534253e-08,
7,37491.055,61754260.0,121831.93,,25151,3179,,3.4647485e-08,2.2807432e-10,2.276532e-11,1.2598105e-12,0.00044774005,,1.6036748e-07,5.585055e-06,1.8439826e-07,3.1770282e-09,0.002227594,
8,9753639.0,113.34016,82.91003,,2581,2620,,1.889704e-12,7.716883e-08,2.472926e-14,5.2706935e-07,3.9076264e-07,,1.6579161e-08,1.968891e-06,2.7492173e-11,2.3413795e-06,1.2698146e-06,
9,30632.596,10.046403,35481.78,,4173,22135,,8.645892e-10,2.095849e-10,6.693456e-11,1.9685242e-05,1.7337486e-10,,2.4510737e-07,3.8915465e-10,7.232487e-09,0.000106509695,3.31306e-06,
