,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,65.3159,0.0010832133,0.00043340697,,26184,19231,,1.09828216e-13,6.2273625e-15,1.5371283e-13,1.7456196e-11,1.4056377e-09,,3.2231728e-12,2.6880081e-11,3.4210495e-13,4.3806356e-18,1.4113765e-16,
1,5.816742,0.7590508,0.16503431,,26184,29503,,1.09828216e-13,1.5942798e-17,1.4879685e-15,1.2383791e-12,1.8004387e-13,,3.2231728e-12,1.0533852e-13,2.9491975e-16,1.4226621e-16,4.497073e-18,
2,57278.645,5.227056,0.56166726,,10232,29503,,1.5669121e-16,1.02113104e-16,4.987805e-13,4.075281e-14,1.1811216e-13,,1.851374e-12,1.1655087e-12,2.4179797e-12,1.8662966e-17,5.812188e-18,
3,5.816742,0.7590508,0.16503431,,26184,29503,,1.09828216e-13,1.5942798e-17,1.4879685e-15,1.2383791e-12,1.8004387e-13,,3.2231728e-12,1.0533852e-13,2.9491975e-16,1.4226621e-16,4.497073e-18,
4,2793645.2,0.014486736,0.010705246,,10232,19231,,1.5669121e-16,1.9641495e-15,3.969019e-12,2.0336174e-11,8.661543e-09,,1.851374e-12,5.700562e-10,9.384364e-10,1.0150715e-18,3.1948373e-16,
5,2793645.2,0.014486739,0.010705248,,10232,19231,,1.5669121e-16,1.9641495e-15,3.9690187e-12,2.0336169e-11,8.66154e-09,,1.851374e-12,5.700562e-10,9.384364e-10,1.0150715e-18,3.1948373e-16,
6,2793645.2,0.014486736,0.010705246,,10232,19231,,1.5669121e-16,1.9641495e-15,3.969019e-12,2.0336174e-11,8.661543e-09,,1.851374e-12,5.700562e-10,9.384364e-10,1.0150715e-18,3.1948373e-16,
7,65.3159,0.001083213,0.00043340688,,26184,19231,,1.09828216e-13,6.2273625e-15,1.5371283e-13,1.74562e-11,1.405638e-09,,3.2231728e-12,2.6880081e-11,3.4210495e-13,4.3806356e-18,1.4113765e-16,
8,5.816742,0.75905067,0.16503428,,26184,29503,,1.09828216e-13,1.5942798e-17,1.4879685e-15,1.2383793e-12,1.800439e-13,,3.2231728e-12,1.0533852e-13,2.9491975e-16,1.4226621e-16,4.497073e-18,
9,65.3159,0.001083213,0.00043340688,,26184,19231,,1.09828216e-13,6.2273625e-15,1.5371283e-13,1.74562e-11,1.405638e-09,,3.2231728e-12,2.6880081e-11,3.4210495e-13,4.3806356e-18,1.4113765e-16,
