,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,0.26437226,0.7332985,0.2696166,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,4.896839e-06,2.6238032e-09,9.788607e-06,6.114698e-09,1.8391878e-06,
1,0.29287907,0.6499242,0.86184424,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,4.896839e-06,7.382081e-09,9.380806e-07,9.161952e-08,7.941384e-06,
2,0.52216613,0.5773765,0.4148844,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.419269e-06,5.5223563e-06,1.3417899e-06,2.403782e-07,1.476225e-07,
3,0.3489077,0.50037664,0.3817273,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,4.3732276e-09,2.965646e-07,4.5432571e-07,1.2010971e-09,6.912965e-08,
4,1.0260341,0.550128,0.25025752,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,1.9242845e-09,6.2662393e-06,5.3143502e-08,4.7402435e-05,7.584964e-09,
5,0.3642803,0.53670835,1.8217227,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,1.748445e-07,1.1287253e-06,1.4013598e-06,5.5690768e-09,9.632063e-11,
6,0.27396894,0.5425163,1.017013,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,3.4688716e-07,3.786965e-05,4.3772775e-07,8.0051805e-06,6.623101e-07,
7,1.08966,0.5197204,0.44886744,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,9.916935e-11,9.674777e-07,3.239778e-08,1.4357835e-07,6.4305816e-08,
8,0.69375294,0.87920505,0.90318924,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,5.9740086e-07,3.6428443e-12,6.8905926e-08,4.9743437e-07,9.690817e-06,
9,0.46627817,3.2552392,0.88485575,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,5.9986633e-06,3.6008843e-10,3.4900656e-06,1.3273336e-08,1.57477e-07,
10,0.89543825,1.4369434,2.1566126,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,2.400284e-07,2.6353516e-06,5.833715e-09,1.969602e-09,9.9725596e-11,
11,0.3537301,0.7535728,0.78479034,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,2.84386e-07,9.864707e-06,8.436174e-07,3.8494388e-08,7.940698e-06,
12,0.3109675,0.88967746,1.0527362,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,6.5265006e-08,6.3264713e-07,8.477381e-08,2.4574097e-06,7.4346224e-10,
13,0.56357545,0.8080701,3.0737824,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,2.1136483e-07,5.234167e-09,2.001882e-08,3.4501724e-09,9.786414e-11,
14,0.60386676,0.2534406,0.4143021,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,1.4812861e-08,7.270897e-08,2.0057592e-10,1.5536389e-06,1.5525611e-06,
15,0.38126734,1.4672445,1.621082,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,1.6435115e-07,3.0708975e-08,5.4736784e-06,1.3368856e-07,1.6616424e-07,
16,0.24314183,1.129643,0.35257447,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,4.680978e-06,3.0195402e-09,9.417679e-06,8.185135e-09,2.089877e-06,
17,0.30238256,0.9223903,1.0471148,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,4.6809787e-06,9.188934e-09,1.0131826e-06,1.04460874e-07,7.751315e-06,
18,0.35057014,0.5103836,0.49196875,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.1641145e-06,5.2536557e-06,1.098297e-06,2.233549e-07,1.8400337e-07,
19,0.63289255,0.772178,0.6071175,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,5.915417e-09,3.5881473e-07,6.092611e-07,1.5319602e-09,9.0872575e-08,
20,1.1461948,0.46295443,0.35775626,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,2.4437492e-09,5.6006556e-06,4.6747616e-08,4.463168e-05,1.2131701e-08,
21,0.3825531,0.77526814,2.1851149,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,1.7987917e-07,1.2055509e-06,1.4304635e-06,7.5318125e-09,1.081718e-10,
22,0.262379,0.48706827,0.8890743,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,3.5039466e-07,3.4656943e-05,4.150138e-07,7.853246e-06,6.326652e-07,
23,1.411865,0.6557408,0.5881393,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,1.0740934e-10,1.0441113e-06,3.8757243e-08,1.6785938e-07,7.807402e-08,
24,0.7039755,1.2203135,1.1882622,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,5.9680207e-07,4.8070757e-12,6.999142e-08,5.232108e-07,9.6617e-06,
25,0.3167877,4.848588,1.3345252,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,5.0815006e-06,5.1415e-10,2.7991061e-06,1.3846238e-08,1.6633774e-07,
26,1.1381081,1.5926149,2.1613758,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,2.3217859e-07,2.4344017e-06,7.665378e-09,2.3631754e-09,1.0819598e-10,
27,0.4058134,0.7106002,0.6809325,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,3.0667914e-07,8.743911e-06,8.974782e-07,4.0952084e-08,7.77298e-06,
28,0.52702254,0.83393663,1.426328,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,8.044616e-08,6.145152e-07,1.16560365e-07,2.3714115e-06,1.0370214e-09,
29,0.6664878,1.2947251,4.5837092,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,2.3224587e-07,6.9772286e-09,2.1545839e-08,4.146999e-09,1.09479335e-10,
30,0.95119286,0.32838032,0.42487523,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,1.7100636e-08,9.411815e-08,2.7367364e-10,1.5551262e-06,1.2300071e-06,
31,0.41422293,2.1852963,2.1205208,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,1.783971e-07,3.6002277e-08,5.4785896e-06,1.6983901e-07,1.8540034e-07,
32,0.26991746,1.3285342,0.36227205,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,4.8805787e-06,3.3499135e-09,1.0027218e-05,8.676901e-09,1.9355834e-06,
33,0.31375298,0.76633173,0.9256696,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,4.8805787e-06,8.527425e-09,1.0082871e-06,9.351968e-08,7.383875e-06,
34,0.4077838,0.529296,0.5697456,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.324414e-06,5.614e-06,1.1229147e-06,2.1676371e-07,1.9941528e-07,
