,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,0.31776544,0.71311617,0.278165,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,5.488966e-06,2.5069498e-09,1.0496317e-05,6.223578e-09,1.9859467e-06,
1,0.35718605,0.58481133,0.8345828,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,5.488966e-06,7.0332677e-09,1.0206377e-06,8.6529205e-08,8.071579e-06,
2,0.6256804,0.5972041,0.47007275,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.5471395e-06,5.8119467e-06,1.4749036e-06,2.3624445e-07,1.589254e-07,
3,0.33533278,0.54598784,0.43275625,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,4.4616137e-09,3.1436437e-07,4.2799914e-07,1.2363743e-09,7.393336e-08,
4,1.0211694,0.60945874,0.25026318,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,1.98553e-09,6.333352e-06,5.126005e-08,5.1958254e-05,7.504758e-09,
5,0.42886892,0.51289535,1.7323599,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,1.9594798e-07,1.1278413e-06,1.4721421e-06,5.3261564e-09,9.16675e-11,
6,0.29943675,0.56763303,1.1233094,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,3.6349405e-07,3.8828013e-05,4.565609e-07,8.169061e-06,7.134776e-07,
7,1.044702,0.56075823,0.4865524,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,9.2667256e-11,9.769783e-07,3.3240525e-08,1.5340902e-07,6.902681e-08,
8,0.76693743,0.83247083,0.9017324,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,6.376147e-07,3.5208932e-12,7.137058e-08,4.873067e-07,1.0010298e-05,
9,0.56258374,2.610771,0.7378508,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,6.6784564e-06,3.1535985e-10,3.7822836e-06,1.2155386e-08,1.4993947e-07,
10,0.95614976,1.4482379,2.1175456,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,2.525896e-07,2.7410601e-06,5.919468e-09,1.908529e-09,9.414284e-11,
11,0.3803121,0.70359284,0.7280162,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,3.0648502e-07,8.942409e-06,8.416133e-07,3.9648178e-08,8.125979e-06,
12,0.34228113,0.8675254,0.9820424,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,7.0353835e-08,6.451341e-07,8.6560995e-08,2.3498424e-06,6.801132e-10,
13,0.5752947,0.7767372,2.8603785,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,2.1544466e-07,5.16093e-09,2.0048127e-08,3.3634537e-09,9.2362056e-11,
14,0.6119129,0.22960386,0.39331484,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,1.4981964e-08,6.494371e-08,2.0095439e-10,1.5758105e-06,1.6501477e-06,
15,0.40787774,1.3908616,1.6558564,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,1.7357368e-07,3.0263887e-08,5.544579e-06,1.285927e-07,1.7222489e-07,
16,0.26770458,0.8423365,0.26296487,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,5.071724e-06,2.7008584e-09,9.5702e-06,6.823533e-09,1.7426355e-06,
17,0.333001,0.72307944,0.95207095,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,5.071724e-06,9.079932e-09,1.029811e-06,8.2871935e-08,7.1323548e-06,
18,0.34795773,0.46707433,0.4513909,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.1759512e-06,4.9772016e-06,1.07914e-06,2.1575516e-07,1.7820399e-07,
19,0.4486997,0.68517625,0.5521392,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,5.0612154e-09,3.3757152e-07,5.0484704e-07,1.444897e-09,8.784423e-08,
20,0.97427464,0.45228735,0.28936705,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,2.292897e-09,5.384874e-06,4.2350106e-08,4.535057e-05,1.0205796e-08,
21,0.34147844,0.6115604,1.8245808,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,1.6713517e-07,1.1136734e-06,1.3742361e-06,6.431535e-09,9.777561e-11,
22,0.20690517,0.42683232,0.7875225,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,3.1322352e-07,3.3078235e-05,3.6610692e-07,7.210487e-06,5.871469e-07,
23,1.1519325,0.6061333,0.5333301,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,9.7868165e-11,1.0124639e-06,3.470462e-08,1.6001061e-07,7.301123e-08,
24,0.6298368,0.9948392,0.96961564,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,5.7534885e-07,4.2267526e-12,6.4955266e-08,4.8510105e-07,8.966335e-06,
25,0.3114469,3.7658594,1.0261631,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,5.100648e-06,4.5645882e-10,2.7415847e-06,1.2113478e-08,1.4406835e-07,
26,1.0343584,1.3941147,1.9814105,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,2.2487879e-07,2.4454991e-06,7.192746e-09,2.059247e-09,9.873703e-11,
27,0.37105045,0.6525245,0.6269429,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,2.991467e-07,8.768642e-06,8.4126043e-07,3.7499102e-08,7.136493e-06,
28,0.4592531,0.74928284,1.0394018,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,7.699184e-08,5.6988426e-07,1.061291e-07,2.2975535e-06,8.148876e-10,
29,0.5516996,0.966172,3.6377707,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,2.1294456e-07,6.065097e-09,1.9451596e-08,3.5600494e-09,9.9952956e-11,
30,0.7414685,0.28097323,0.3699881,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,1.5752423e-08,8.6508294e-08,2.3159114e-10,1.4476684e-06,1.1653318e-06,
31,0.32952663,1.9639854,1.7095476,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,1.5321288e-07,3.496594e-08,5.074786e-06,1.5716293e-07,1.5389834e-07,
32,0.2654806,1.1501046,0.31824803,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,4.770211e-06,3.1074958e-09,1.0090577e-05,8.097524e-09,1.8330144e-06,
33,0.29349944,0.70318455,0.9348457,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,4.770212e-06,8.449875e-09,9.650221e-07,8.660104e-08,7.5255093e-06,
34,0.41474673,0.52495813,0.55508864,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.3394689e-06,5.5132173e-06,1.129252e-06,2.1891724e-07,1.978368e-07,
35,0.40243894,0.64159757,0.61026514,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,4.598759e-09,3.5431935e-07,4.983313e-07,1.2890453e-09,9.250264e-08,
36,0.70233595,0.40162194,0.3483702,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,1.9493793e-09,5.3223066e-06,3.590924e-08,4.0743787e-05,1.2431239e-08,
37,0.36824462,0.8993695,1.9635923,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,1.8982962e-07,1.2294973e-06,1.3047832e-06,8.567294e-09,9.5312314e-11,
38,0.21582642,0.4810713,0.8038258,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,3.305206e-07,3.3926022e-05,3.6190704e-07,7.923665e-06,5.843259e-07,
39,1.2074556,0.73100966,0.5649888,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,9.802323e-11,1.033296e-06,3.631984e-08,1.8908563e-07,7.578586e-08,
40,0.74853444,1.1866463,1.0951563,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,5.817446e-07,4.3131046e-12,7.634789e-08,5.6704494e-07,9.9244935e-06,
41,0.31777772,3.9853742,1.2018751,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,5.611453e-06,4.1238704e-10,2.5426766e-06,1.41896095e-08,1.8677044e-07,
42,0.74914044,1.3981246,2.0174344,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,2.1829854e-07,2.4817061e-06,5.3664193e-09,2.03504e-09,9.9065436e-11,
43,0.27753505,0.63802767,0.5675459,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,2.6833493e-07,7.879759e-06,7.0149144e-07,4.0802146e-08,7.1891454e-06,
44,0.468112,0.7071406,1.3782244,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,8.145263e-08,5.7485374e-07,1.02251974e-07,2.1495864e-06,1.0711826e-09,
45,0.7705432,1.2814587,3.738688,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,2.5812923e-07,6.63457e-09,2.2411918e-08,4.3164943e-09,9.390841e-11,
46,0.59089833,0.2812311,0.42393774,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,1.3943561e-08,8.6106716e-08,2.0850462e-10,1.4557548e-06,1.3414814e-06,
47,0.36607775,2.2137518,1.6988735,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,1.5525757e-07,3.515998e-08,5.5634346e-06,1.761722e-07,1.5209339e-07,
48,0.2337537,0.65756345,0.2678124,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,4.426326e-06,2.3801936e-09,9.5749365e-06,6.0443672e-09,2.013859e-06,
49,0.22846948,0.4059999,0.6277653,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,4.426326e-06,5.881301e-09,8.095663e-07,7.183839e-08,7.260561e-06,
50,0.32062185,0.43770546,0.35279247,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.0342487e-06,4.517928e-06,1.1305992e-06,2.2274249e-07,1.5343691e-07,
51,0.30161774,0.5394063,0.40385875,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,4.003715e-09,3.082427e-07,4.2899532e-07,1.245729e-09,7.036669e-08,
52,0.61340153,0.4594816,0.27235216,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,1.7632572e-09,5.755317e-06,3.4672635e-08,4.31065e-05,8.987417e-09,
53,0.24445447,0.41504753,1.164421,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,1.5227688e-07,9.977506e-07,1.0797668e-06,4.872019e-09,6.964875e-11,
54,0.15285678,0.43618953,0.79106593,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,2.859182e-07,3.251522e-05,2.9630152e-07,7.496148e-06,6.0000116e-07,
