,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,0.6079899,0.13871966,25.07956,1.5005763,15808,23332,21962,0.00027512957,5.3408034e-10,2.0298605e-09,4.6875116e-06,2.6373402e-07,3.990094e-06,5.1748244e-05,2.665903e-09,6.5615167e-09,1.3026947e-07,1.325099e-06,1.1995087e-06
1,7438.402,35.450104,20295332.0,203.96898,15808,29360,21962,0.00027512957,4.340273e-09,4.2278317e-10,3.5025027e-05,1.7480675e-08,9.906541e-07,5.1748244e-05,1.9389045e-06,1.6720105e-05,2.7794356e-06,0.0007941727,4.5232105e-07
2,0.024132501,296.4457,1088.9576,29.953259,15808,14208,21962,0.00027512957,5.085765e-09,5.61325e-08,1.01151585e-07,6.1820604e-11,4.346741e-09,5.1748244e-05,7.109048e-09,7.2020874e-09,2.145175e-05,4.816029e-08,9.3143534e-08
3,0.019624375,0.025888514,0.04008667,0.28164598,15808,13919,21962,0.00027512957,5.0852104e-06,2.4146184e-06,6.168509e-06,6.2632324e-07,1.3596544e-07,5.1748244e-05,3.583238e-07,2.5193353e-07,2.2663166e-06,3.5631308e-07,5.434572e-07
4,6.160482e-05,0.00016530433,0.00021391544,4.8867223e-05,21962,23332,1408,3.9800243e-06,8.83236e-06,1.5122733e-06,4.09637e-06,4.6704778e-07,3.4417608e-06,7.21717e-08,1.8730459e-08,5.1376414e-09,3.1930946e-07,4.7112028e-08,7.930977e-08
5,0.028875927,14.017636,475.99002,0.7315934,21962,29360,1408,3.9800243e-06,1.0714771e-09,1.0149626e-07,5.1819998e-06,2.0906202e-06,2.1354438e-06,7.21717e-08,2.7978894e-08,1.616236e-07,2.7817912e-06,3.8108807e-05,5.982879e-08
6,0.009120378,22.133698,116319.6,213.1867,21962,14208,1408,3.9800243e-06,2.7926955e-10,3.0829224e-08,3.6202272e-07,2.6965774e-10,7.675021e-07,7.21717e-08,1.7463995e-07,1.5505801e-08,1.2813559e-08,5.0158643e-08,2.6164938e-07
7,0.023768889,30.737741,137.96524,0.0077633206,21962,13919,1408,3.9800243e-06,6.537109e-08,5.044271e-07,6.683329e-08,3.746365e-07,0.0005061835,7.21717e-08,6.579815e-07,6.611897e-07,2.0409709e-07,5.1351344e-06,3.9041592e-07
8,2.1252158,0.43885934,0.94518197,0.19549295,1408,23332,31135,1.12101025e-05,3.027069e-08,1.1615708e-08,6.7389976e-07,1.4116396e-06,4.6405893e-07,4.130595e-06,1.1967897e-07,6.699551e-08,7.4804056e-08,3.3747665e-07,2.2946091e-08
9,103.95505,0.12883998,6960.1367,0.1934722,1408,29360,31135,1.12101025e-05,8.898337e-09,1.5998551e-10,5.3551134e-06,1.4473409e-08,5.0619815e-07,4.130595e-06,7.642985e-08,4.5136016e-08,8.0327666e-08,1.17282825e-05,1.1402103e-08
10,68.89447,20.983974,158280.02,10489.235,1408,14208,31135,1.12101025e-05,3.4540246e-11,4.9045895e-10,2.5973082e-05,1.7466891e-09,1.9228697e-08,4.130595e-06,9.200615e-08,9.170309e-08,2.0460666e-07,1.0378874e-07,7.5718546e-08
11,4.7916093,2.4700773,718.33563,7572.3228,1408,13919,31135,1.12101025e-05,2.3659356e-07,2.7156213e-07,7.2963876e-06,2.0422264e-07,1.443096e-10,4.130595e-06,4.4278568e-06,3.5314056e-06,9.630033e-07,7.838639e-06,5.8389364e-08
12,5.978391,10.826765,3249.7446,27.874369,31135,23332,15808,3.8596238e-05,1.6546011e-09,8.184674e-12,2.515329e-07,6.0144123e-10,5.4584086e-07,1.4409157e-07,1.29249536e-08,1.3106662e-08,3.486244e-07,2.502112e-07,1.9477598e-06
13,10.095297,1332.299,2698960.8,293.3485,31135,29360,15808,3.8596238e-05,1.3556023e-09,1.5913891e-10,1.08476925e-08,1.1232235e-09,3.2280635e-08,1.4409157e-07,2.2411011e-07,4.3033023e-07,8.7419814e-08,1.8337225e-05,5.727918e-08
14,0.004464162,0.41807672,91.25881,17.328543,31135,14208,15808,3.8596238e-05,1.0228024e-08,5.9258047e-09,1.3158622e-06,1.5367013e-09,8.079157e-08,1.4409157e-07,2.0384636e-08,7.0858777e-09,2.7602928e-07,7.0364415e-08,7.024523e-07
15,0.018320335,2.6730704,0.071164094,0.13637568,31135,13919,15808,3.8596238e-05,1.5522653e-05,5.329365e-08,7.1730852e-09,1.4011297e-06,1.9976638e-07,1.4409157e-07,6.565952e-07,2.6152622e-07,4.5329887e-07,2.3572602e-06,6.4406186e-07
16,31607.174,2450.2515,140036.92,301472.62,19469,1828,3936,2.9394012e-09,1.2924396e-09,7.864954e-09,3.555679e-05,2.3546626e-07,1.6047852e-07,5.177624e-07,2.305543e-06,1.4112704e-06,4.8839393e-05,1.8484523e-05,2.7120757e-05
17,31660624.0,153944.33,19453874.0,46182.984,19469,29780,3936,2.9394012e-09,4.6923097e-11,2.654279e-11,1.9940114e-07,1.5816806e-10,1.2512722e-06,5.177624e-07,8.58503e-08,4.7708354e-06,1.6777845e-05,1.6817821e-06,3.1584837e-05
18,35812.348,31183.504,2309.0215,2230.042,19469,29612,3936,2.9394012e-09,1.5491388e-09,1.6289173e-09,1.0069501e-08,2.9837818e-08,1.784392e-07,5.177624e-07,5.5282364e-08,3.3117703e-07,8.799067e-06,1.9306287e-06,1.1150826e-05
19,405.95447,28696.643,7.1189656,0.57658195,19469,2867,3936,2.9394012e-09,9.451512e-09,1.2503943e-07,2.3598906e-07,4.993757e-06,0.0070467712,5.177624e-07,2.6492526e-07,2.8817263e-07,0.00024160219,1.2683007e-06,0.00014495364
20,195.04822,223154.08,104324.58,39.780052,3936,1828,24172,0.00016948432,1.2931534e-09,4.022775e-09,7.994869e-06,7.879834e-08,1.6914468e-07,7.7320045e-05,1.1736157e-06,1.7199077e-06,0.0019658043,9.057906e-06,7.413919e-09
21,1030.3055,12116.513,216459.77,3569.8762,3936,29780,24172,0.00016948432,1.6692624e-10,6.5231565e-10,0.00014916199,4.1549364e-09,2.6985787e-09,7.7320045e-05,2.3777663e-07,1.4731985e-06,0.0012687944,6.3138896e-07,6.763067e-09
22,148.94121,485.81,41999.395,111870.914,3936,29612,24172,0.00016948432,7.206463e-11,6.625881e-10,0.00064655946,4.6918593e-09,1.9863619e-10,7.7320045e-05,4.936509e-08,2.1631963e-07,0.0004585399,2.8766712e-07,3.243977e-08
23,0.7595579,3.6476974,4.690636,4645.263,3936,2867,24172,0.00016948432,9.463006e-10,1.3650526e-07,0.0031126048,3.3334081e-06,7.999358e-10,7.7320045e-05,1.2825387e-07,2.2727293e-07,8.377249e-05,1.15366255e-07,2.741726e-08
24,3.8743532,0.42205837,0.111009546,0.047125142,24172,1828,23740,2.1074765e-08,1.8808274e-05,6.0988505e-06,2.1512227e-08,1.6822352e-05,1.1339266e-07,5.878963e-07,2.6351e-06,8.4705033e-07,6.480518e-08,1.33290405e-05,3.814077e-08
25,55.241573,0.5928137,179.45384,27.894344,24172,29780,23740,2.1074765e-08,4.076129e-08,1.06070665e-07,2.882146e-07,1.1616616e-07,2.3960633e-08,5.878963e-07,6.557669e-07,2.1005032e-07,1.0620197e-08,1.2957787e-06,4.1544435e-08
26,4267.961,540.94617,15766.156,6.3130155,24172,29612,23740,2.1074765e-08,1.2519908e-09,3.7118966e-10,4.8526485e-09,3.6542883e-10,1.6010596e-07,5.878963e-07,3.000646e-08,5.6790846e-08,1.0952652e-07,2.4038923e-07,4.217263e-08
27,1.7963235,0.0005124376,5.9590217e-05,0.05385816,24172,2867,23740,2.1074765e-08,1.0823239e-06,3.228857e-08,2.8551034e-07,3.830768e-06,1.0836207e-08,5.878963e-07,2.5100177e-09,2.0791957e-09,6.30875e-08,9.843313e-08,2.5165713e-07
28,1.8591348,0.6712689,0.012432078,178.64775,23740,1828,19469,1.4647652e-05,4.7312583e-06,3.2354143e-07,4.7392066e-07,7.77009e-06,2.8081413e-09,4.2754316e-05,5.615652e-07,2.0607666e-07,2.6802707e-06,8.138535e-07,4.226618e-06
29,37.741196,3.3473856,2030.9924,350.32727,23740,29780,19469,1.4647652e-05,9.879035e-09,1.1022056e-08,3.8200174e-06,5.518179e-08,1.0446887e-07,4.2754316e-05,1.5892921e-07,1.4251688e-07,7.94844e-07,6.9665043e-06,2.274949e-06
30,1.7946479,0.28687814,36.5177,7.132543,23740,29612,19469,1.4647652e-05,8.125067e-08,1.2840161e-08,7.253471e-06,2.9223802e-08,1.9264402e-07,4.2754316e-05,1.1135381e-07,7.894739e-09,1.5183265e-06,7.7868526e-07,1.0025864e-06
31,81.35749,1296.5007,127.1557,5273.994,23740,2867,19469,1.4647652e-05,1.5878092e-08,2.320755e-08,1.0491386e-05,7.228408e-06,1.5273248e-07,4.2754316e-05,2.3727957e-06,6.4686685e-07,9.102142e-05,6.1505852e-06,5.3902518e-06
32,5.358905,0.1198152,0.023330739,0.05520976,19653,4876,22950,7.3793074e-09,2.0625343e-06,6.190206e-07,1.0258125e-07,1.0068857e-06,1.318421e-07,1.6777478e-06,3.5815436e-08,1.4590497e-08,7.078005e-07,1.3528187e-06,4.1918037e-07
33,741.80695,11.429009,3.553708,0.7353948,19653,4157,22950,7.3793074e-09,4.9022384e-07,2.388469e-06,2.3961115e-06,3.6544284e-06,1.9697389e-07,1.6777478e-06,1.026293e-06,7.792906e-06,1.3080932e-05,6.203321e-06,6.919142e-08
34,92.50651,8.298226,1337.2947,24.970636,19653,24920,22950,7.3793074e-09,2.6593812e-06,7.961734e-07,1.6789328e-06,2.5082697e-08,6.6384995e-09,1.6777478e-06,1.0537842e-05,3.2394323e-07,3.5159887e-06,8.465064e-06,4.1833907e-08
35,630.6757,8.909199,2.5415485,0.22002982,19653,5508,22950,7.3793074e-09,1.596115e-06,9.634613e-08,2.7177404e-07,7.678763e-08,3.5012752e-07,1.6777478e-06,6.035222e-07,2.6725712e-07,6.4035016e-06,5.1613176e-07,2.0374112e-07
36,384.98602,0.00076997554,0.049611963,0.3172437,22950,4876,3994,5.77316e-08,3.4254462e-08,5.192058e-08,2.081564e-05,3.4718659e-07,4.117128e-07,8.3762086e-07,2.2339229e-07,1.3776872e-06,2.4576252e-09,2.641182e-09,2.0027942e-08
37,2067.054,64502.55,17661566.0,30756.996,22950,4157,3994,5.77316e-08,3.4948713e-09,4.14067e-08,1.4621122e-07,3.0798375e-08,2.5516985e-07,8.3762086e-07,1.1342975e-05,5.899138e-06,2.9057737e-06,0.00016759506,2.418118e-06
38,26.314165,2.2873485,0.6816377,8.382461,22950,24920,3994,5.77316e-08,5.919795e-07,3.732347e-07,2.5934142e-07,4.908241e-05,9.717612e-07,8.3762086e-07,1.6968693e-06,6.769206e-07,2.069486e-07,1.1671797e-05,2.8417728e-06
39,187.55832,0.14795847,55.63807,10.338303,22950,5508,3994,5.77316e-08,9.883497e-09,1.7268258e-08,3.8145893e-07,2.7324512e-08,3.277649e-07,8.3762086e-07,1.2163821e-06,2.232292e-07,4.5859389e-10,1.2352791e-08,2.753292e-08
40,0.005260918,0.00051140605,0.001735498,0.0007188003,3994,4876,7788,6.6490327e-07,1.4646445e-06,9.274288e-05,6.5225264e-05,1.1046021e-06,1.8934255e-06,0.00011837835,8.838147e-08,2.7404903e-09,5.527805e-07,3.1768813e-08,2.2554204e-08
41,7.5152287,4.718188,0.0103664,0.015072901,3994,4157,7788,6.6490327e-07,6.019402e-07,3.4571735e-07,1.0020807e-06,9.271766e-06,1.1782429e-05,0.00011837835,1.936376e-06,1.4593168e-08,1.4697436e-06,2.9878176e-08,5.5207153e-08
42,168239.03,1078.2262,7971.6787,1.1112676,3994,24920,7788,6.6490327e-07,3.509152e-10,2.3566218e-10,4.6412205e-07,1.6286758e-06,9.138662e-06,0.00011837835,3.821513e-07,2.226911e-07,4.5952476e-07,1.19220595e-05,9.325413e-09
43,566.2312,0.27830654,1.4297583,185.28494,3994,5508,7788,6.6490327e-07,3.7705384e-08,5.7452287e-09,5.180244e-05,1.1506856e-06,2.1576581e-07,0.00011837835,8.2177473e-07,1.8272052e-08,6.614914e-07,7.548661e-08,1.8343125e-06
44,0.00025827324,0.0021267515,0.0005022857,0.043701433,7788,4876,19653,1.7758166e-05,7.958832e-07,2.9540215e-06,7.719015e-06,1.5402831e-05,9.938889e-08,1.60718e-07,6.687773e-08,8.429982e-08,1.9536486e-07,9.2070216e-08,5.1689376e-08
45,0.0042502233,0.0014956787,56699.668,1330.9951,7788,4157,19653,1.7758166e-05,1.4053157e-07,1.5982924e-07,0.0050944663,2.9503223e-08,1.0396992e-06,1.60718e-07,9.465521e-06,7.505879e-08,1.1312704e-07,2.483587e-05,2.054535e-05
46,0.0037742907,0.21115965,0.13796383,6.33301e-07,7788,24920,19653,1.7758166e-05,1.649027e-07,5.0357777e-08,4.4372754e-07,2.1746841e-06,6.070852e-05,1.60718e-07,6.377258e-08,2.1000782e-08,2.4228197e-07,7.758097e-07,9.9415386e-11
47,0.30822876,230.67773,14.970264,107.17338,7788,5508,19653,1.7758166e-05,3.1975286e-08,1.295487e-08,2.2274714e-06,2.4426383e-08,1.04886425e-07,1.60718e-07,4.595455e-07,4.4120432e-07,3.575228e-05,2.5443365e-08,7.821537e-07
48,125.740005,66700.086,969294.4,1965837.9,12033,11962,23207,9.986866e-07,4.6509148e-09,8.105957e-08,3.035493e-08,4.7031858e-08,1.0734604e-09,2.2924712e-06,9.9842955e-06,4.4402054e-06,9.431409e-07,2.1235806e-05,9.830027e-07
49,0.011552565,0.8029349,13.335558,26.077257,12033,13430,23207,9.986866e-07,3.0770497e-07,1.1626063e-05,3.505978e-08,2.3104362e-06,1.6016918e-08,2.2924712e-06,1.1219689e-06,5.8510846e-08,7.720461e-09,8.450042e-06,1.1454985e-07
